"sp","lat","lon"
"Thelypodium_laciniatum","45.9953","-117.3858"
"Thelypodium_laciniatum","44.3996","-121.2002"
"Thelypodium_laciniatum","42.5498","-117.1603"
"Thelypodium_laciniatum","42.1009","-117.5453"
"Thelypodium_laciniatum","43.5618","-117.4483"
"Thelypodium_laciniatum","45.9175","-119.0052"
"Thelypodium_laciniatum","45.6249","-121.0547"
"Thelypodium_laciniatum","43.8153","-117.6832"
"Thelypodium_laciniatum","45.7056","-121.5203"
"Thelypodium_laciniatum","42.5351","-117.161"
"Thelypodium_laciniatum","42.9692","-116.1205"
"Thelypodium_laciniatum","47.4211","-119.1208"
"Thelypodium_laciniatum","47.405","-119.4975"
"Thelypodium_laciniatum","46.7031","-117.4683"
"Thelypodium_laciniatum","47.6114","-119.2911"
"Thelypodium_laciniatum","43.6366","-113.1994"
"Thelypodium_laciniatum","48.9994","-119.7236"
"Thelypodium_laciniatum","46.9735","-119.9703"
"Thelypodium_laciniatum","47.5008","-119.3292"
"Thelypodium_laciniatum","47.4236","-120.3092"
"Thelypodium_laciniatum","45.3961","-116.2176"
"Thelypodium_laciniatum","46.7081","-120.474"
"Thelypodium_laciniatum","46.6314","-118.0519"
"Thelypodium_laciniatum","46.1689","-117.008"
"Thelypodium_laciniatum","47.5679","-120.3316"
"Thelypodium_laciniatum","47.2996","-120.0897"
"Thelypodium_laciniatum","47.5105","-120.3092"
"Thelypodium_laciniatum","46.7393","-118.2394"
"Thelypodium_laciniatum","46.3394","-117.0472"
"Thelypodium_laciniatum","47.1108","-120.0247"
"Thelypodium_laciniatum","46.9125","-119.155"
"Thelypodium_laciniatum","47.4272","-119.4206"
"Thelypodium_laciniatum","47.4697","-119.8807"
"Thelypodium_laciniatum","46.4414","-117.0573"
"Thelypodium_laciniatum","46.4164","-117.0442"
"Thelypodium_laciniatum","46.0337","-117.0021"
"Thelypodium_laciniatum","47.4528","-119.2532"
"Thelypodium_laciniatum","46.5786","-118.0858"
"Thelypodium_laciniatum","46.6636","-118.2225"
"Thelypodium_laciniatum","47.0898","-118.0133"
"Thelypodium_laciniatum","46.1947","-117.0472"
"Thelypodium_laciniatum","48.4111","-119.5264"
"Thelypodium_laciniatum","46.296","-117.0472"
"Thelypodium_laciniatum","47.1684","-119.9977"
"Thelypodium_laciniatum","47.5004","-118.5572"
"Thelypodium_laciniatum","46.0415","-117.251"
"Thelypodium_laciniatum","47.7088","-119.2639"
"Thelypodium_laciniatum","41.3672","-122.7839"
"Thelypodium_laciniatum","45.58","-121.15"
"Thelypodium_laciniatum","37.63","-118.43"
"Thelypodium_laciniatum","43.07","-118.75"
"Thelypodium_laciniatum","43.3231","-117.3081"
"Thelypodium_laciniatum","43.109","-117.7173"
"Thelypodium_laciniatum","37.6378","-118.4333"
"Thelypodium_laciniatum","43.778","-117.748"
"Thelypodium_laciniatum","43.0758","-118.7575"
"Thelypodium_laciniatum","41.5244","-119.4636"
"Thelypodium_laciniatum","43.5617","-117.4481"
"Thelypodium_laciniatum","48.8333","-119.45"
"Thelypodium_laciniatum","47.5035","-119.508"
"Thelypodium_laciniatum","49.35","-120.0667"
"Thelypodium_laciniatum","49.3733","-120.1239"
"Thelypodium_laciniatum","49.125","-119.7283"
"Thelypodium_laciniatum","50.7972","-120.7583"
"Thelypodium_laciniatum","49.2833","-119.5333"
"Thelypodium_laciniatum","37.8858","-118.7617"
"Thelypodium_laciniatum","37.335","-118.5233"
"Thelypodium_laciniatum","37.369","-118.455"
"Thelypodium_laciniatum","37.4853","-118.6042"
"Thelypodium_laciniatum","37.6378","-118.4331"
"Thelypodium_laciniatum","37.4946","-118.6077"
"Thelypodium_laciniatum","37.638","-118.854"
"Thelypodium_laciniatum","37.072","-118.254"
"Thelypodium_laciniatum","41.3164","-120.1158"
"Thelypodium_laciniatum","37.638","-118.4331"
"Thelypodium_laciniatum","37.4069","-118.3959"
"Thelypodium_laciniatum","37.4042","-118.5024"
"Thelypodium_laciniatum","37.4842","-118.3833"
